siteid,amount,st
275,30,шкаф-купе комфорт
275,30,ксения 2
275,30,диван фортуна амстердам
275,30,виола нео
275,30,фиксики
275,30,фортуна маэстро
275,30,венге
275,30,1212
275,30,25000
275,30,раскладной
275,30,милано
275,30,перегородка
275,30,мебель для кухни
275,30,диван трансформер
275,30,"стол компьютерный ск-6 \"лик-5\""
275,30,енисей
275,30,шкаф аврора
275,30,стол журнальный сж-1
275,30,фараон
275,29,кровать мелисса 800
275,29,скалли
275,29,диван анна
275,29,матрас optima mix (независимые пружины)
275,29,1489
275,29,гостинная
275,29,парта
275,29,комоды высокие
275,29,угловой шкаф палермо
275,29,cnfylfhn 3
275,29,бася шкаф
275,29,детская стенка
275,29,кровать габриэлла
275,29,ковры
275,29,бостон
275,29,кларис
275,29,тумба сакура
275,29,мальта
275,29,матрас стандарт эко ппу
275,29,комод турин
275,29,самба
275,29,люстра
275,29,ибица
275,29,боровичи мебель
275,29,белый шкаф
275,29,"кровати 1,4"
275,29,1558
275,29,вавилон 58
275,28,стеновые панели
275,28,шкаф-витрина
275,28,космос
275,28,алегро
275,28,"кухня \"татьяна\" лдсп 2,0м"
275,28,шкаф-купе фортуна (маэстро) (венге/белфорт)
275,28,альбина
275,28,эра
275,28,прихожая оскар 1
275,28,угловой шкаф эко
275,28,круглая кровать
275,28,еш
275,28,виста
275,28,"тахта малютка 0,7"
275,28,тедди
275,28,компьютерный стол грета-4
275,28,5.15
275,28,диван гармония 2
275,28,тумба под раковину
275,28,маджеста-8
275,28,витрины
275,28,шкаф онега
275,28,комод белый лдсп 4 ящика
275,28,диван книжка клайд с баром
275,28,скамейка
275,27,шкаф 2х створчатый ронда в в
275,27,21000
275,27,пс-01
275,27,клик-клак
275,27,кресло груша
275,27,глория 5
275,27,стенка евро-мини
275,27,денди
275,27,техас
275,27,прихожая леон
275,27,матрас optima (независимые пружины) h 190мм
275,27,диван гармония
275,27,5.24
275,27,1688
275,27,кения
275,27,лаванда-2
275,27,норд
275,27,стол складной
275,27,офисный стул
275,27,фиеста шкаф
275,27,катя кухня
275,27,раскладушки
275,27,соло 8
275,27,ск 9
275,27,орнелла
